difficulty,title,url,solution_url
0,Add Strings,https://leetcode.com/problems/add-strings,https://leetcode.com/problems/add-strings/editorial
0,Add Two Integers,https://leetcode.com/problems/add-two-integers,
1,Add Two Numbers,https://leetcode.com/problems/add-two-numbers,https://leetcode.com/problems/add-two-numbers/editorial
1,Add Two Numbers II,https://leetcode.com/problems/add-two-numbers-ii,https://leetcode.com/problems/add-two-numbers-ii/editorial
1,Add Two Polynomials Represented as Linked Lists,https://leetcode.com/problems/add-two-polynomials-represented-as-linked-lists,
0,Add to Array-Form of Integer,https://leetcode.com/problems/add-to-array-form-of-integer,https://leetcode.com/problems/add-to-array-form-of-integer/editorial
1,Adding Spaces to a String,https://leetcode.com/problems/adding-spaces-to-a-string,
1,Adding Two Negabinary Numbers,https://leetcode.com/problems/adding-two-negabinary-numbers,
1,Additive Number,https://leetcode.com/problems/additive-number,
1,Advantage Shuffle,https://leetcode.com/problems/advantage-shuffle,https://leetcode.com/problems/advantage-shuffle/editorial
1,Airplane Seat Assignment Probability,https://leetcode.com/problems/airplane-seat-assignment-probability,
1,Alert Using Same Key-Card Three or More Times in a One Hour Period,https://leetcode.com/problems/alert-using-same-key-card-three-or-more-times-in-a-one-hour-period,
2,Alien Dictionary,https://leetcode.com/problems/alien-dictionary,https://leetcode.com/problems/alien-dictionary/editorial
1,All Ancestors of a Node in a Directed Acyclic Graph,https://leetcode.com/problems/all-ancestors-of-a-node-in-a-directed-acyclic-graph,
1,All Divisions With the Highest Score of a Binary Array,https://leetcode.com/problems/all-divisions-with-the-highest-score-of-a-binary-array,
1,All Elements in Two Binary Search Trees,https://leetcode.com/problems/all-elements-in-two-binary-search-trees,https://leetcode.com/problems/all-elements-in-two-binary-search-trees/editorial
1,All Nodes Distance K in Binary Tree,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/editorial
2,All O`one Data Structure,https://leetcode.com/problems/all-oone-data-structure,
1,All Paths From Source to Target,https://leetcode.com/problems/all-paths-from-source-to-target,https://leetcode.com/problems/all-paths-from-source-to-target/editorial
1,All Paths from Source Lead to Destination,https://leetcode.com/problems/all-paths-from-source-lead-to-destination,https://leetcode.com/problems/all-paths-from-source-lead-to-destination/editorial
1,All Possible Full Binary Trees,https://leetcode.com/problems/all-possible-full-binary-trees,https://leetcode.com/problems/all-possible-full-binary-trees/editorial
2,Allocate Mailboxes,https://leetcode.com/problems/allocate-mailboxes,
1,Alphabet Board Path,https://leetcode.com/problems/alphabet-board-path,
0,Alternating Digit Sum,https://leetcode.com/problems/alternating-digit-sum,
1,Ambiguous Coordinates,https://leetcode.com/problems/ambiguous-coordinates,https://leetcode.com/problems/ambiguous-coordinates/editorial
2,Amount of New Area Painted Each Day,https://leetcode.com/problems/amount-of-new-area-painted-each-day,
1,Amount of Time for Binary Tree to Be Infected,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected,
1,Analyze User Website Visit Pattern,https://leetcode.com/problems/analyze-user-website-visit-pattern,
1,Android Unlock Patterns,https://leetcode.com/problems/android-unlock-patterns,https://leetcode.com/problems/android-unlock-patterns/editorial
1,Angle Between Hands of a Clock,https://leetcode.com/problems/angle-between-hands-of-a-clock,https://leetcode.com/problems/angle-between-hands-of-a-clock/editorial
1,Append Characters to String to Make Subsequence,https://leetcode.com/problems/append-characters-to-string-to-make-subsequence,
1,Append K Integers With Minimal Sum,https://leetcode.com/problems/append-k-integers-with-minimal-sum,
1,Apply Bitwise Operations to Make Strings Equal,https://leetcode.com/problems/apply-bitwise-operations-to-make-strings-equal,
1,Apply Discount Every n Orders,https://leetcode.com/problems/apply-discount-every-n-orders,
1,Apply Discount to Prices,https://leetcode.com/problems/apply-discount-to-prices,
0,Apply Operations to an Array,https://leetcode.com/problems/apply-operations-to-an-array,
1,Arithmetic Slices,https://leetcode.com/problems/arithmetic-slices,https://leetcode.com/problems/arithmetic-slices/editorial
2,Arithmetic Slices II - Subsequence,https://leetcode.com/problems/arithmetic-slices-ii-subsequence,https://leetcode.com/problems/arithmetic-slices-ii-subsequence/editorial
1,Arithmetic Subarrays,https://leetcode.com/problems/arithmetic-subarrays,
0,Armstrong Number,https://leetcode.com/problems/armstrong-number,https://leetcode.com/problems/armstrong-number/editorial
0,Arranging Coins,https://leetcode.com/problems/arranging-coins,https://leetcode.com/problems/arranging-coins/editorial
1,Array Nesting,https://leetcode.com/problems/array-nesting,https://leetcode.com/problems/array-nesting/editorial
0,Array Partition,https://leetcode.com/problems/array-partition,https://leetcode.com/problems/array-partition/editorial
0,Array Transformation,https://leetcode.com/problems/array-transformation,
1,Array With Elements Not Equal to Average of Neighbors,https://leetcode.com/problems/array-with-elements-not-equal-to-average-of-neighbors,
1,Array of Doubled Pairs,https://leetcode.com/problems/array-of-doubled-pairs,https://leetcode.com/problems/array-of-doubled-pairs/editorial
1,As Far from Land as Possible,https://leetcode.com/problems/as-far-from-land-as-possible,https://leetcode.com/problems/as-far-from-land-as-possible/editorial
0,Assign Cookies,https://leetcode.com/problems/assign-cookies,
1,Asteroid Collision,https://leetcode.com/problems/asteroid-collision,
0,Available Captures for Rook,https://leetcode.com/problems/available-captures-for-rook,
1,Average Height of Buildings in Each Segment,https://leetcode.com/problems/average-height-of-buildings-in-each-segment,
0,Average Salary Excluding the Minimum and Maximum Salary,https://leetcode.com/problems/average-salary-excluding-the-minimum-and-maximum-salary,https://leetcode.com/problems/average-salary-excluding-the-minimum-and-maximum-salary/editorial
0,Average Value of Even Numbers That Are Divisible by Three,https://leetcode.com/problems/average-value-of-even-numbers-that-are-divisible-by-three,
1,Average Waiting Time,https://leetcode.com/problems/average-waiting-time,
0,Average of Levels in Binary Tree,https://leetcode.com/problems/average-of-levels-in-binary-tree,https://leetcode.com/problems/average-of-levels-in-binary-tree/editorial
1,Avoid Flood in The City,https://leetcode.com/problems/avoid-flood-in-the-city,
0,Backspace String Compare,https://leetcode.com/problems/backspace-string-compare,https://leetcode.com/problems/backspace-string-compare/editorial
1,Bag of Tokens,https://leetcode.com/problems/bag-of-tokens,https://leetcode.com/problems/bag-of-tokens/editorial
1,Balance a Binary Search Tree,https://leetcode.com/problems/balance-a-binary-search-tree,
0,Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree,https://leetcode.com/problems/balanced-binary-tree/editorial
0,Base 7,https://leetcode.com/problems/base-7,
0,Baseball Game,https://leetcode.com/problems/baseball-game,https://leetcode.com/problems/baseball-game/editorial
2,Basic Calculator,https://leetcode.com/problems/basic-calculator,https://leetcode.com/problems/basic-calculator/editorial
1,Basic Calculator II,https://leetcode.com/problems/basic-calculator-ii,https://leetcode.com/problems/basic-calculator-ii/editorial
2,Basic Calculator III,https://leetcode.com/problems/basic-calculator-iii,
2,Basic Calculator IV,https://leetcode.com/problems/basic-calculator-iv,https://leetcode.com/problems/basic-calculator-iv/editorial
1,Battleships in a Board,https://leetcode.com/problems/battleships-in-a-board,
1,Beautiful Arrangement,https://leetcode.com/problems/beautiful-arrangement,https://leetcode.com/problems/beautiful-arrangement/editorial
1,Beautiful Arrangement II,https://leetcode.com/problems/beautiful-arrangement-ii,https://leetcode.com/problems/beautiful-arrangement-ii/editorial
1,Beautiful Array,https://leetcode.com/problems/beautiful-array,https://leetcode.com/problems/beautiful-array/editorial
2,Beautiful Pairs,https://leetcode.com/problems/beautiful-pairs,
1,Before and After Puzzle,https://leetcode.com/problems/before-and-after-puzzle,
2,Best Meeting Point,https://leetcode.com/problems/best-meeting-point,https://leetcode.com/problems/best-meeting-point/editorial
0,Best Poker Hand,https://leetcode.com/problems/best-poker-hand,
2,Best Position for a Service Centre,https://leetcode.com/problems/best-position-for-a-service-centre,
1,Best Sightseeing Pair,https://leetcode.com/problems/best-sightseeing-pair,
1,Best Team With No Conflicts,https://leetcode.com/problems/best-team-with-no-conflicts,https://leetcode.com/problems/best-team-with-no-conflicts/editorial
0,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/editorial
1,Best Time to Buy and Sell Stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/editorial
2,Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/editorial
2,Best Time to Buy and Sell Stock IV,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/editorial
1,Best Time to Buy and Sell Stock with Cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/editorial
1,Best Time to Buy and Sell Stock with Transaction Fee,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/editorial
0,Binary Gap,https://leetcode.com/problems/binary-gap,https://leetcode.com/problems/binary-gap/editorial
0,Binary Number with Alternating Bits,https://leetcode.com/problems/binary-number-with-alternating-bits,https://leetcode.com/problems/binary-number-with-alternating-bits/editorial
0,Binary Prefix Divisible By 5,https://leetcode.com/problems/binary-prefix-divisible-by-5,
0,Binary Search,https://leetcode.com/problems/binary-search,https://leetcode.com/problems/binary-search/editorial
1,Binary Search Tree Iterator,https://leetcode.com/problems/binary-search-tree-iterator,https://leetcode.com/problems/binary-search-tree-iterator/editorial
1,Binary Search Tree Iterator II,https://leetcode.com/problems/binary-search-tree-iterator-ii,https://leetcode.com/problems/binary-search-tree-iterator-ii/editorial
1,Binary Search Tree to Greater Sum Tree,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree,
1,Binary Searchable Numbers in an Unsorted Array,https://leetcode.com/problems/binary-searchable-numbers-in-an-unsorted-array,
1,Binary String With Substrings Representing 1 To N,https://leetcode.com/problems/binary-string-with-substrings-representing-1-to-n,
1,Binary Subarrays With Sum,https://leetcode.com/problems/binary-subarrays-with-sum,https://leetcode.com/problems/binary-subarrays-with-sum/editorial
2,Binary Tree Cameras,https://leetcode.com/problems/binary-tree-cameras,https://leetcode.com/problems/binary-tree-cameras/editorial
1,Binary Tree Coloring Game,https://leetcode.com/problems/binary-tree-coloring-game,
0,Binary Tree Inorder Traversal,https://leetcode.com/problems/binary-tree-inorder-traversal,https://leetcode.com/problems/binary-tree-inorder-traversal/editorial
1,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/editorial
1,Binary Tree Level Order Traversal II,https://leetcode.com/problems/binary-tree-level-order-traversal-ii,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/editorial
1,Binary Tree Longest Consecutive Sequence,https://leetcode.com/problems/binary-tree-longest-consecutive-sequence,https://leetcode.com/problems/binary-tree-longest-consecutive-sequence/editorial
1,Binary Tree Longest Consecutive Sequence II,https://leetcode.com/problems/binary-tree-longest-consecutive-sequence-ii,https://leetcode.com/problems/binary-tree-longest-consecutive-sequence-ii/editorial
2,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/editorial
0,Binary Tree Paths,https://leetcode.com/problems/binary-tree-paths,https://leetcode.com/problems/binary-tree-paths/editorial
0,Binary Tree Postorder Traversal,https://leetcode.com/problems/binary-tree-postorder-traversal,https://leetcode.com/problems/binary-tree-postorder-traversal/editorial
0,Binary Tree Preorder Traversal,https://leetcode.com/problems/binary-tree-preorder-traversal,https://leetcode.com/problems/binary-tree-preorder-traversal/editorial
1,Binary Tree Pruning,https://leetcode.com/problems/binary-tree-pruning,https://leetcode.com/problems/binary-tree-pruning/editorial
1,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view,https://leetcode.com/problems/binary-tree-right-side-view/editorial
0,Binary Tree Tilt,https://leetcode.com/problems/binary-tree-tilt,https://leetcode.com/problems/binary-tree-tilt/editorial
1,Binary Tree Upside Down,https://leetcode.com/problems/binary-tree-upside-down,
1,Binary Tree Vertical Order Traversal,https://leetcode.com/problems/binary-tree-vertical-order-traversal,https://leetcode.com/problems/binary-tree-vertical-order-traversal/editorial
1,Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/editorial
1,Binary Trees With Factors,https://leetcode.com/problems/binary-trees-with-factors,https://leetcode.com/problems/binary-trees-with-factors/editorial
0,Binary Watch,https://leetcode.com/problems/binary-watch,
1,Bitwise AND of Numbers Range,https://leetcode.com/problems/bitwise-and-of-numbers-range,https://leetcode.com/problems/bitwise-and-of-numbers-range/editorial
1,Bitwise OR of All Subsequence Sums,https://leetcode.com/problems/bitwise-or-of-all-subsequence-sums,
1,Bitwise ORs of Subarrays,https://leetcode.com/problems/bitwise-ors-of-subarrays,https://leetcode.com/problems/bitwise-ors-of-subarrays/editorial
1,Bitwise XOR of All Pairings,https://leetcode.com/problems/bitwise-xor-of-all-pairings,
1,Boats to Save People,https://leetcode.com/problems/boats-to-save-people,https://leetcode.com/problems/boats-to-save-people/editorial
1,Bold Words in String,https://leetcode.com/problems/bold-words-in-string,https://leetcode.com/problems/bold-words-in-string/editorial
1,Bomb Enemy,https://leetcode.com/problems/bomb-enemy,https://leetcode.com/problems/bomb-enemy/editorial
2,Booking Concert Tickets in Groups,https://leetcode.com/problems/booking-concert-tickets-in-groups,
1,Boundary of Binary Tree,https://leetcode.com/problems/boundary-of-binary-tree,https://leetcode.com/problems/boundary-of-binary-tree/editorial
1,Brace Expansion,https://leetcode.com/problems/brace-expansion,https://leetcode.com/problems/brace-expansion/editorial
2,Brace Expansion II,https://leetcode.com/problems/brace-expansion-ii,
1,Break a Palindrome,https://leetcode.com/problems/break-a-palindrome,https://leetcode.com/problems/break-a-palindrome/editorial
1,Brick Wall,https://leetcode.com/problems/brick-wall,https://leetcode.com/problems/brick-wall/editorial
2,Bricks Falling When Hit,https://leetcode.com/problems/bricks-falling-when-hit,https://leetcode.com/problems/bricks-falling-when-hit/editorial
1,Brightest Position on Street,https://leetcode.com/problems/brightest-position-on-street,
1,Broken Calculator,https://leetcode.com/problems/broken-calculator,https://leetcode.com/problems/broken-calculator/editorial
0,Buddy Strings,https://leetcode.com/problems/buddy-strings,https://leetcode.com/problems/buddy-strings/editorial
2,Build Array Where You Can Find The Maximum Exactly K Comparisons,https://leetcode.com/problems/build-array-where-you-can-find-the-maximum-exactly-k-comparisons,
0,Build Array from Permutation,https://leetcode.com/problems/build-array-from-permutation,
2,Build Binary Expression Tree From Infix Expression,https://leetcode.com/problems/build-binary-expression-tree-from-infix-expression,
2,Build a Matrix With Conditions,https://leetcode.com/problems/build-a-matrix-with-conditions,
1,Build an Array With Stack Operations,https://leetcode.com/problems/build-an-array-with-stack-operations,
2,Building Boxes,https://leetcode.com/problems/building-boxes,
1,Buildings With an Ocean View,https://leetcode.com/problems/buildings-with-an-ocean-view,https://leetcode.com/problems/buildings-with-an-ocean-view/editorial
1,Bulb Switcher,https://leetcode.com/problems/bulb-switcher,https://leetcode.com/problems/bulb-switcher/editorial
1,Bulb Switcher II,https://leetcode.com/problems/bulb-switcher-ii,https://leetcode.com/problems/bulb-switcher-ii/editorial
1,Bulls and Cows,https://leetcode.com/problems/bulls-and-cows,https://leetcode.com/problems/bulls-and-cows/editorial
2,Burst Balloons,https://leetcode.com/problems/burst-balloons,https://leetcode.com/problems/burst-balloons/editorial
2,Bus Routes,https://leetcode.com/problems/bus-routes,https://leetcode.com/problems/bus-routes/editorial
0,Buy Two Chocolates,https://leetcode.com/problems/buy-two-chocolates,
0,Calculate Amount Paid in Taxes,https://leetcode.com/problems/calculate-amount-paid-in-taxes,
0,Calculate Delayed Arrival Time,https://leetcode.com/problems/calculate-delayed-arrival-time,
0,Calculate Digit Sum of a String,https://leetcode.com/problems/calculate-digit-sum-of-a-string,
0,Calculate Money in Leetcode Bank,https://leetcode.com/problems/calculate-money-in-leetcode-bank,
1,Camelcase Matching,https://leetcode.com/problems/camelcase-matching,
1,Campus Bikes,https://leetcode.com/problems/campus-bikes,https://leetcode.com/problems/campus-bikes/editorial
1,Campus Bikes II,https://leetcode.com/problems/campus-bikes-ii,https://leetcode.com/problems/campus-bikes-ii/editorial
1,Can Convert String in K Moves,https://leetcode.com/problems/can-convert-string-in-k-moves,
1,Can I Win,https://leetcode.com/problems/can-i-win,
0,Can Make Arithmetic Progression From Sequence,https://leetcode.com/problems/can-make-arithmetic-progression-from-sequence,https://leetcode.com/problems/can-make-arithmetic-progression-from-sequence/editorial
1,Can Make Palindrome from Substring,https://leetcode.com/problems/can-make-palindrome-from-substring,
0,Can Place Flowers,https://leetcode.com/problems/can-place-flowers,https://leetcode.com/problems/can-place-flowers/editorial
1,Can You Eat Your Favorite Candy on Your Favorite Day?,https://leetcode.com/problems/can-you-eat-your-favorite-candy-on-your-favorite-day,
2,Candy,https://leetcode.com/problems/candy,https://leetcode.com/problems/candy/editorial
1,Candy Crush,https://leetcode.com/problems/candy-crush,https://leetcode.com/problems/candy-crush/editorial
1,Capacity To Ship Packages Within D Days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/editorial
0,Capitalize the Title,https://leetcode.com/problems/capitalize-the-title,
1,Car Fleet,https://leetcode.com/problems/car-fleet,https://leetcode.com/problems/car-fleet/editorial
2,Car Fleet II,https://leetcode.com/problems/car-fleet-ii,
1,Car Pooling,https://leetcode.com/problems/car-pooling,https://leetcode.com/problems/car-pooling/editorial
1,Card Flipping Game,https://leetcode.com/problems/card-flipping-game,https://leetcode.com/problems/card-flipping-game/editorial
2,Cat and Mouse,https://leetcode.com/problems/cat-and-mouse,https://leetcode.com/problems/cat-and-mouse/editorial
2,Cat and Mouse II,https://leetcode.com/problems/cat-and-mouse-ii,
0,Categorize Box According to Criteria,https://leetcode.com/problems/categorize-box-according-to-criteria,
0,Cells in a Range on an Excel Sheet,https://leetcode.com/problems/cells-in-a-range-on-an-excel-sheet,
0,Cells with Odd Values in a Matrix,https://leetcode.com/problems/cells-with-odd-values-in-a-matrix,
2,Chalkboard XOR Game,https://leetcode.com/problems/chalkboard-xor-game,https://leetcode.com/problems/chalkboard-xor-game/editorial
1,Champagne Tower,https://leetcode.com/problems/champagne-tower,https://leetcode.com/problems/champagne-tower/editorial
1,Change Minimum Characters to Satisfy One of Three Conditions,https://leetcode.com/problems/change-minimum-characters-to-satisfy-one-of-three-conditions,
1,Change the Root of a Binary Tree,https://leetcode.com/problems/change-the-root-of-a-binary-tree,
1,Cheapest Flights Within K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops,https://leetcode.com/problems/cheapest-flights-within-k-stops/editorial
0,Check Array Formation Through Concatenation,https://leetcode.com/problems/check-array-formation-through-concatenation,https://leetcode.com/problems/check-array-formation-through-concatenation/editorial
1,Check Completeness of a Binary Tree,https://leetcode.com/problems/check-completeness-of-a-binary-tree,https://leetcode.com/problems/check-completeness-of-a-binary-tree/editorial
0,Check Distances Between Same Letters,https://leetcode.com/problems/check-distances-between-same-letters,
0,Check If All 1's Are at Least Length K Places Away,https://leetcode.com/problems/check-if-all-1s-are-at-least-length-k-places-away,https://leetcode.com/problems/check-if-all-1s-are-at-least-length-k-places-away/editorial
1,Check If Array Pairs Are Divisible by k,https://leetcode.com/problems/check-if-array-pairs-are-divisible-by-k,
2,Check If It Is a Good Array,https://leetcode.com/problems/check-if-it-is-a-good-array,
0,Check If It Is a Straight Line,https://leetcode.com/problems/check-if-it-is-a-straight-line,https://leetcode.com/problems/check-if-it-is-a-straight-line/editorial
0,Check If N and Its Double Exist,https://leetcode.com/problems/check-if-n-and-its-double-exist,
2,Check If String Is Transformable With Substring Sort Operations,https://leetcode.com/problems/check-if-string-is-transformable-with-substring-sort-operations,
0,Check If String Is a Prefix of Array,https://leetcode.com/problems/check-if-string-is-a-prefix-of-array,
1,Check If Two Expression Trees are Equivalent,https://leetcode.com/problems/check-if-two-expression-trees-are-equivalent,
0,Check If Two String Arrays are Equivalent,https://leetcode.com/problems/check-if-two-string-arrays-are-equivalent,https://leetcode.com/problems/check-if-two-string-arrays-are-equivalent/editorial
1,Check If Word Is Valid After Substitutions,https://leetcode.com/problems/check-if-word-is-valid-after-substitutions,
0,Check If a Number Is Majority Element in a Sorted Array,https://leetcode.com/problems/check-if-a-number-is-majority-element-in-a-sorted-array,https://leetcode.com/problems/check-if-a-number-is-majority-element-in-a-sorted-array/editorial
1,Check If a String Can Break Another String,https://leetcode.com/problems/check-if-a-string-can-break-another-string,
1,Check If a String Contains All Binary Codes of Size K,https://leetcode.com/problems/check-if-a-string-contains-all-binary-codes-of-size-k,https://leetcode.com/problems/check-if-a-string-contains-all-binary-codes-of-size-k/editorial
1,Check If a String Is a Valid Sequence from Root to Leaves Path in a Binary Tree,https://leetcode.com/problems/check-if-a-string-is-a-valid-sequence-from-root-to-leaves-path-in-a-binary-tree,
0,Check If a Word Occurs As a Prefix of Any Word in a Sentence,https://leetcode.com/problems/check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence,
1,Check Knight Tour Configuration,https://leetcode.com/problems/check-knight-tour-configuration,
0,Check Whether Two Strings are Almost Equivalent,https://leetcode.com/problems/check-whether-two-strings-are-almost-equivalent,
2,Check for Contradictions in Equations,https://leetcode.com/problems/check-for-contradictions-in-equations,
0,Check if All A's Appears Before All B's,https://leetcode.com/problems/check-if-all-as-appears-before-all-bs,
0,Check if All Characters Have Equal Number of Occurrences,https://leetcode.com/problems/check-if-all-characters-have-equal-number-of-occurrences,
0,Check if All the Integers in a Range Are Covered,https://leetcode.com/problems/check-if-all-the-integers-in-a-range-are-covered,
0,Check if Array Is Sorted and Rotated,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated,
0,Check if Binary String Has at Most One Segment of Ones,https://leetcode.com/problems/check-if-binary-string-has-at-most-one-segment-of-ones,
0,Check if Every Row and Column Contains All Numbers,https://leetcode.com/problems/check-if-every-row-and-column-contains-all-numbers,
0,Check if Matrix Is X-Matrix,https://leetcode.com/problems/check-if-matrix-is-x-matrix,
1,Check if Move is Legal,https://leetcode.com/problems/check-if-move-is-legal,
0,Check if Number Has Equal Digit Count and Digit Value,https://leetcode.com/problems/check-if-number-has-equal-digit-count-and-digit-value,
1,Check if Number is a Sum of Powers of Three,https://leetcode.com/problems/check-if-number-is-a-sum-of-powers-of-three,
0,Check if Numbers Are Ascending in a Sentence,https://leetcode.com/problems/check-if-numbers-are-ascending-in-a-sentence,
0,Check if One String Swap Can Make Strings Equal,https://leetcode.com/problems/check-if-one-string-swap-can-make-strings-equal,
2,Check if Point Is Reachable,https://leetcode.com/problems/check-if-point-is-reachable,
0,Check if String Is Decomposable Into Value-Equal Substrings,https://leetcode.com/problems/check-if-string-is-decomposable-into-value-equal-substrings,
1,Check if There is a Path With Equal Number of 0's And 1's,https://leetcode.com/problems/check-if-there-is-a-path-with-equal-number-of-0s-and-1s,
1,Check if There is a Valid Partition For The Array,https://leetcode.com/problems/check-if-there-is-a-valid-partition-for-the-array,
1,Check if There is a Valid Path in a Grid,https://leetcode.com/problems/check-if-there-is-a-valid-path-in-a-grid,
1,Check if Word Can Be Placed In Crossword,https://leetcode.com/problems/check-if-word-can-be-placed-in-crossword,
0,Check if Word Equals Summation of Two Words,https://leetcode.com/problems/check-if-word-equals-summation-of-two-words,
1,Check if a Parentheses String Can Be Valid,https://leetcode.com/problems/check-if-a-parentheses-string-can-be-valid,
0,Check if an Array Is Consecutive,https://leetcode.com/problems/check-if-an-array-is-consecutive,
2,Check if an Original String Exists Given Two Encoded Strings,https://leetcode.com/problems/check-if-an-original-string-exists-given-two-encoded-strings,
0,Check if the Sentence Is Pangram,https://leetcode.com/problems/check-if-the-sentence-is-pangram,https://leetcode.com/problems/check-if-the-sentence-is-pangram/editorial
2,Checking Existence of Edge Length Limited Paths,https://leetcode.com/problems/checking-existence-of-edge-length-limited-paths,https://leetcode.com/problems/checking-existence-of-edge-length-limited-paths/editorial
2,Checking Existence of Edge Length Limited Paths II,https://leetcode.com/problems/checking-existence-of-edge-length-limited-paths-ii,
2,Cherry Pickup,https://leetcode.com/problems/cherry-pickup,https://leetcode.com/problems/cherry-pickup/editorial
2,Cherry Pickup II,https://leetcode.com/problems/cherry-pickup-ii,https://leetcode.com/problems/cherry-pickup-ii/editorial
1,Choose Edges to Maximize Score in a Tree,https://leetcode.com/problems/choose-edges-to-maximize-score-in-a-tree,
2,Choose Numbers From Two Arrays in Range,https://leetcode.com/problems/choose-numbers-from-two-arrays-in-range,
1,Cinema Seat Allocation,https://leetcode.com/problems/cinema-seat-allocation,
1,Circle and Rectangle Overlapping,https://leetcode.com/problems/circle-and-rectangle-overlapping,
1,Circular Array Loop,https://leetcode.com/problems/circular-array-loop,
1,Circular Permutation in Binary Representation,https://leetcode.com/problems/circular-permutation-in-binary-representation,
0,Circular Sentence,https://leetcode.com/problems/circular-sentence,
0,Climbing Stairs,https://leetcode.com/problems/climbing-stairs,https://leetcode.com/problems/climbing-stairs/editorial
